SchoolYear,RCDTS,School,Enrollment,FAEnrollment,iepp,,eavpp,doepp,ALLCourses,FACourses,ALLTeachers,FATeachers,ALLTeachersCalc,FATeachersCalc
2017,200240010260005,Edwards County High School,283,176,4924.00,,65765.00,7909.00,4410,466,20,2,22,4
2017,200240010262001,Albion Grade School,443,386,4924.00,,65765.00,7909.00,4133,494,28,2,29,3
2017,200240010262004,West Salem Grade School,170,143,4924.00,,65765.00,7909.00,1344,161,13,1,13,1
2017,200300070260001,Gallatin High School,215,0,5031.00,,81355.00,8877.00,2907,0,14,0,14,0
2017,200300070261001,Gallatin Junior High School,246,0,5031.00,,81355.00,8877.00,1448,0,,,,
2017,200300070262001,Gallatin Elementary School,297,279,5031.00,,81355.00,8877.00,2275,510,,,,
2017,200330100260002,Hamilton County Jr/Sr High School,600,121,5305.00,,69646.00,8876.00,7313,184,35,3,37,5
2017,200330100262002,Dahlgren Elem School,167,0,5305.00,,69646.00,8876.00,169,0,7,0,7,0
2017,200330100262004,East Side Elementary School,483,0,5305.00,,69646.00,8876.00,498,0,21,0,21,0
2017,200350010260003,Hardin County High School,173,14,4411.00,,56363.00,8615.00,2168,17,15,0,15,0
2017,200350010261001,Hardin County Jr High School,128,0,4411.00,,56363.00,8615.00,738,0,8,0,8,0
2017,200350010262001,Hardin County Elem School,289,0,4411.00,,56363.00,8615.00,1461,0,15,0,16,0
2017,200760010260001,Pope Co High School,165,79,4719.00,,75477.00,8268.00,2557,179,16,2,19,4
2017,200760010262002,Pope County Elementary School,356,0,4719.00,,75477.00,8268.00,1628,0,24,0,24,0
2017,200830010260001,Galatia High School,125,40,5240.00,,100273.00,8240.00,1643,70,13,1,16,1
2017,200830010261001,Galatia Jr High,74,33,5240.00,,100273.00,8240.00,939,33,8,1,8,1
2017,200830010262002,Galatia Elem School,214,210,5240.00,,100273.00,8240.00,2857,378,17,1,20,1
2017,200830020260001,Carrier Mills-Stonefort H S,140,45,5328.00,,44475.00,8702.00,1846,81,15,2,15,2
2017,200830020262002,Carrier Mills-Stonefort Elem Sch,303,187,5328.00,,44475.00,8702.00,1282,197,19,1,19,1
2017,200830030260001,Harrisburg High School,582,240,5344.00,,61324.00,7910.00,7586,530,37,4,38,5
2017,200830030261002,Harrisburg Middle School,496,230,5344.00,,61324.00,7910.00,3479,232,26,2,27,3
2017,200830030262009,East Side Intermediate School,481,474,5344.00,,61324.00,7910.00,5344,954,28,2,31,5
2017,200830030262010,West Side Primary School,445,431,5344.00,,61324.00,7910.00,3038,866,24,2,28,5
2017,200830040260001,Eldorado High School,384,118,5485.00,,49783.00,9183.00,4620,219,25,2,28,3
2017,200830040261002,Eldorado Middle School,264,212,5485.00,,49783.00,9183.00,4011,364,19,2,21,4
2017,200830040262004,Eldorado Elem School,543,0,5485.00,,49783.00,9183.00,5834,0,28,0,28,0
2017,200930170242001,Allendale Elementary School,121,74,6008.00,,105310.00,9685.00,1090,140,13,6,14,7
2017,200933480260001,Mount Carmel High School,529,167,5766.00,,80833.00,9237.00,7191,486,32,2,32,2
2017,200933480261003,Mt Carmel Junior High School,328,92,5766.00,,80833.00,9237.00,2303,92,22,1,22,1
2017,200933480262003,Mt Carmel Elementary School,317,313,5766.00,,80833.00,9237.00,1360,313,17,1,17,1
2017,200933480262005,Mt Carmel Grade School,307,305,5766.00,,80833.00,9237.00,2565,307,20,1,20,1
2017,200960060042001,New Hope Elem School,181,155,4438.00,,79905.00,7759.00,1471,175,12,1,13,2
2017,200960140042001,Geff Elem School,105,94,5305.00,,50164.00,9026.00,864,132,13,2,13,2
2017,200960170042001,Jasper Elem School,171,169,5813.00,,58348.00,9937.00,1538,308,13,5,13,5
2017,200961000260001,Wayne City High School,161,30,4876.00,,66382.00,9022.00,1991,70,17,1,17,1
2017,200961000262005,Wayne City Attendance Center,375,0,4876.00,,66382.00,9022.00,2187,0,23,0,23,0
2017,200961120042001,Center Street Elem School,357,251,5181.00,,78012.00,8954.00,2486,275,20,2,22,4
2017,200961120042002,North Side Elem School,291,291,5181.00,,78012.00,8954.00,1582,293,16,1,17,2
2017,200962000260001,Cisne High School,128,30,5528.00,,58432.00,9285.00,1471,69,19,2,19,2
2017,200962000261001,Cisne Middle School,119,80,5528.00,,58432.00,9285.00,604,139,11,2,11,2
2017,200962000262002,Mount Erie Elem School,75,73,5528.00,,58432.00,9285.00,272,193,5,2,5,2
2017,200962000262003,Johnsonville Elem School,73,55,5528.00,,58432.00,9285.00,206,110,5,2,5,2
2017,200962250160001,Fairfield Comm High School,440,180,5165.00,,188145.00,8661.00,5157,343,26,2,27,3
2017,200970010260003,Grayville Jr Sr High School,155,124,5251.00,,53698.00,9301.00,1538,249,17,2,17,2
2017,200970010262002,Wells Elementary School,144,133,5251.00,,53698.00,9301.00,1092,133,11,1,11,1
2017,200970030260001,Norris City-Omaha-Enfield H S,196,13,4954.00,,70549.00,8777.00,2468,24,17,1,17,1
2017,200970030262002,Norris City-Omaha Elem School,369,60,4954.00,,70549.00,8777.00,2157,60,23,1,23,1
2017,200970030262003,Booth Elementary School,136,41,4954.00,,70549.00,8777.00,933,42,13,2,13,2
2017,200970050260001,Carmi-White County High School,399,161,5528.00,,88591.00,8986.00,5377,360,26,2,27,3
2017,200970050261007,Carmi White Cnty Jr High Sch,205,60,5528.00,,88591.00,8986.00,1400,78,12,1,12,1
2017,200970050262005,Jefferson Attendance Center,228,224,5528.00,,88591.00,8986.00,1389,228,12,1,12,1
2017,200970050262006,Lincoln Attendance Center,241,234,5528.00,,88591.00,8986.00,1221,235,14,1,14,1
2017,200970050262007,Washington Attendance Center,353,0,5528.00,,88591.00,8986.00,1842,0,18,0,18,0
2017,210280470041002,Benton Grade Sch 5-8,472,148,5384.00,,90586.00,8464.00,5293,307,25,3,29,7
2017,210280470042001,Benton Grade Sch K-4,673,0,5384.00,,90586.00,8464.00,12816,0,31,0,31,0
2017,210280910042001,Akin Comm Cons Elem School,85,0,7777.00,,392397.00,14132.00,515,0,10,0,10,0
2017,210280990260001,Christopher High,251,95,6212.00,,39655.00,10207.00,3639,225,22,2,23,3
2017,210280990262001,Christopher Elem School,595,63,6212.00,,39655.00,10207.00,3347,63,32,1,32,1
2017,210281030130001,Benton Cons High School,607,304,7780.00,,244526.00,12928.00,9216,817,46,4,48,5
2017,210281150042001,Ewing-Northern Elem School,192,41,5929.00,,98901.00,9518.00,743,52,10,1,11,2
