label,cap_length,number
52,8,0.05405405405405406
52,9,0.05405405405405406
52,10,0.6216216216216216
52,11,0.10810810810810811
52,12,0.08108108108108109
52,15,0.02702702702702703
53,6,0.06666666666666667
53,7,0.06666666666666667
53,8,0.13333333333333333
53,9,0.26666666666666666
53,10,0.26666666666666666
53,11,0.13333333333333333
53,14,0.06666666666666667
54,5,0.03571428571428571
54,6,0.10714285714285714
54,7,0.25
54,8,0.14285714285714285
54,9,0.03571428571428571
54,10,0.2857142857142857
54,11,0.10714285714285714
54,12,0.03571428571428571
55,6,0.022222222222222223
55,7,0.24444444444444444
55,8,0.5111111111111111
55,9,0.022222222222222223
55,10,0.08888888888888889
55,11,0.044444444444444446
55,12,0.044444444444444446
55,14,0.022222222222222223
56,4,0.023255813953488372
56,6,0.11627906976744186
56,7,0.27906976744186046
56,8,0.16279069767441862
56,9,0.11627906976744186
56,10,0.06976744186046512
56,11,0.09302325581395349
56,12,0.06976744186046512
56,14,0.023255813953488372
56,15,0.023255813953488372
56,16,0.023255813953488372
57,6,0.06896551724137931
57,7,0.3103448275862069
57,8,0.13793103448275862
57,9,0.13793103448275862
57,10,0.2413793103448276
57,11,0.10344827586206896
58,4,0.034482758620689655
58,6,0.034482758620689655
58,7,0.13793103448275862
58,9,0.1724137931034483
58,10,0.13793103448275862
58,11,0.1724137931034483
58,12,0.2413793103448276
58,13,0.06896551724137931
59,9,0.8333333333333334
59,12,0.16666666666666666
60,6,0.09375
60,7,0.1875
60,8,0.53125
60,9,0.09375
60,10,0.03125
60,11,0.03125
60,12,0.03125
61,7,0.046511627906976744
61,8,0.023255813953488372
61,9,0.11627906976744186
61,10,0.13953488372093023
61,11,0.37209302325581395
61,12,0.09302325581395349
